Id,Qual tipo de pergunta da fase anterior te pareceu mais difícil?,As perguntas ajudaram você a pensar sobre como aprende?,"Quando você aprende algo novo e complicado, como costuma se sentir?","Quando precisa resolver atividades sozinho, você se sente:","Quando você erra uma resposta, o que pensa primeiro?",Como você prefere aprender?,Quanto tempo você consegue manter a atenção em uma atividade online?,Onde você costuma aprender melhor?,O que mais te ajuda quando você não entende algo?,Você aprende melhor com:,Você já usou algum robô ou IA para tirar dúvidas?,Como você gostaria que um sistema com chat automático te ajudasse?,Você acredita que pode aprender programação ou lógica se tiver apoio?,O que mais te motiva a continuar estudando?,O que faria um sistema de estudos ser ideal para você?
1,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
2,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Animado pelo desafio,( ) Preparado(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
3,( ) Sobre sentimentos ou escolhas pessoais,( ) Não ajudaram,( ) Animado pelo desafio,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
4,( ) Sobre interpretação de frases,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
5,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Não devia ter tentado""",( ) Fazendo sozinho até acertar,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
6,( ) Nenhuma foi difícil,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
7,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Acho que não consigo,( ) Quando vejo que estou melhorando,( ) Ter explicações simples
8,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
9,( ) Sobre sentimentos ou escolhas pessoais,( ) Não sei dizer,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Tenho dúvidas,( ) Quando entendo o conteúdo,( ) Ter explicações simples
10,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Na escola, com colegas",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
11,( ) Sobre problemas do dia a dia,( ) Não sei dizer,( ) Desanimado,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Fazendo sozinho até acertar,( ) Menos de 5 minutos,( ) Não tenho um lugar certo,( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
12,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Lendo textos com exemplos,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
13,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Curioso para entender,( ) Preparado(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
14,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
15,( ) Sobre sentimentos ou escolhas pessoais,( ) Não sei dizer,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Fazendo sozinho até acertar,( ) Menos de 5 minutos,( ) Não tenho um lugar certo,( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Me dar desafios na medida certa
16,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Desanimado,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Tenho dúvidas,( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
17,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Tenho dúvidas,( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
18,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Fazendo sozinho até acertar,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
19,( ) Sobre problemas do dia a dia,( ) Um pouco,( ) Desanimado,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Fazendo sozinho até acertar,( ) Menos de 5 minutos,( ) Não tenho um lugar certo,( ) Perguntar por mensagem ou chat,( ) Explicações diretas e curtas,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,( ) Tenho dúvidas,( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
20,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Fazendo sozinho até acertar,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
21,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
22,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
23,( ) Sobre sentimentos ou escolhas pessoais,( ) Não sei dizer,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
24,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Fazendo sozinho até acertar,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Repetindo até eu entender,( ) Acho que não consigo,( ) Quando entendo o conteúdo,( ) Ter explicações simples
25,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ter explicações simples
26,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
27,( ) Sobre sentimentos ou escolhas pessoais,( ) Não sei dizer,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Lendo textos com exemplos,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
28,( ) Nenhuma foi difícil,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
29,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
30,( ) Sobre sentimentos ou escolhas pessoais,( ) Não sei dizer,( ) Desanimado,( ) Preparado(a),"( ) ""Não sou bom nisso""",( ) Lendo textos com exemplos,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
31,( ) Nenhuma foi difícil,( ) Não sei dizer,( ) Desanimado,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
32,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
33,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
34,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando alguém me apoia,( ) Ser divertido e interativo
35,( ) Nenhuma foi difícil,( ) Um pouco,( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Não sou bom nisso""",( ) Lendo textos com exemplos,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
36,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Curioso para entender,( ) Ansioso(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Lendo textos com exemplos,( ) Mais de 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me dar desafios na medida certa
37,( ) Sobre problemas do dia a dia,( ) Um pouco,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ter explicações simples
