Id,Qual tipo de pergunta da fase anterior te pareceu mais difícil?,As perguntas ajudaram você a pensar sobre como aprende?,"Quando você aprende algo novo e complicado, como costuma se sentir?","Quando precisa resolver atividades sozinho, você se sente:","Quando você erra uma resposta, o que pensa primeiro?",Como você prefere aprender?,Quanto tempo você consegue manter a atenção em uma atividade online?,Onde você costuma aprender melhor?,O que mais te ajuda quando você não entende algo?,Você aprende melhor com:,Você já usou algum robô ou IA para tirar dúvidas?,Como você gostaria que um sistema com chat automático te ajudasse?,Você acredita que pode aprender programação ou lógica se tiver apoio?,O que mais te motiva a continuar estudando?,O que faria um sistema de estudos ser ideal para você?
38,( ) Sobre interpretação de frases,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Tenho dúvidas,( ) Quando vejo que estou melhorando,( ) Ter explicações simples
39,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
40,( ) Nenhuma foi difícil,( ) Não sei dizer,( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Fazendo sozinho até acertar,( ) Mais de 20 minutos,"( ) Na escola, com colegas",( ) Perguntar por mensagem ou chat,( ) Exemplo seguido de desafio,"( ) Sim, mas não gostei",( ) Motivando com frases positivas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
41,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
42,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando recebo elogios,( ) Ser divertido e interativo
43,( ) Sobre problemas do dia a dia,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
44,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Curioso para entender,( ) Preparado(a),"( ) ""Não devia ter tentado""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ouvir alguém explicando de novo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando alguém me apoia,( ) Ser divertido e interativo
45,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Lendo textos com exemplos,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
46,( ) Nenhuma foi difícil,( ) Um pouco,( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
47,( ) Nenhuma foi difícil,( ) Um pouco,( ) Desanimado,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,( ) Acho que não consigo,( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
48,( ) Sobre interpretação de frases,"( ) Sim, com certeza",( ) Com medo de errar,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Fazendo sozinho até acertar,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
49,( ) Sobre interpretação de frases,"( ) Sim, com certeza",( ) Com medo de errar,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Fazendo sozinho até acertar,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,( ) Não sei o que é isso,( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
50,( ) Nenhuma foi difícil,( ) Não ajudaram,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Lendo textos com exemplos,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Motivando com frases positivas,"( ) Sim, com certeza",( ) Quando recebo elogios,( ) Me deixar estudar no meu ritmo
51,( ) Sobre interpretação de frases,( ) Um pouco,( ) Animado pelo desafio,( ) Preparado(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, mas não gostei",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
52,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Curioso para entender,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
53,( ) Nenhuma foi difícil,( ) Não ajudaram,( ) Curioso para entender,( ) Ansioso(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
54,( ) Sobre interpretação de frases,( ) Não sei dizer,( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
55,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ter explicações simples
56,( ) Sobre interpretação de frases,( ) Não sei dizer,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ouvir alguém explicando de novo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
57,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Inseguro(a),"( ) ""Não devia ter tentado""",( ) Fazendo sozinho até acertar,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Imagens ou esquemas,"( ) Sim, mas não gostei",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ter explicações simples
58,( ) Sobre problemas do dia a dia,( ) Não sei dizer,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Lendo textos com exemplos,( ) De 5 a 10 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Tentar sozinho com calma,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
59,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ser divertido e interativo
60,( ) Nenhuma foi difícil,"( ) Sim, com certeza",( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,( ) Em qualquer lugar com fone de ouvido,( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
61,( ) Sobre sentimentos ou escolhas pessoais,( ) Um pouco,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
62,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
63,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Curioso para entender,( ) Inseguro(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ser divertido e interativo
64,( ) Sobre interpretação de frases,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 10 a 20 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Ter explicações simples
65,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ter explicações simples
66,( ) Nenhuma foi difícil,( ) Um pouco,( ) Curioso para entender,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,"( ) Na escola, com colegas",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me dar desafios na medida certa
67,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Na escola, com colegas",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando recebo elogios,( ) Ser divertido e interativo
68,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Animado pelo desafio,( ) Preparado(a),"( ) ""Tudo bem, vou aprender com isso""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Tentar sozinho com calma,( ) Exemplo seguido de desafio,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando recebo elogios,( ) Ser divertido e interativo
69,( ) Nenhuma foi difícil,( ) Um pouco,( ) Animado pelo desafio,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Vendo alguém resolver passo a passo,( ) De 10 a 20 minutos,( ) Não tenho um lugar certo,( ) Ver outro exemplo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo
70,( ) Sobre sentimentos ou escolhas pessoais,"( ) Sim, com certeza",( ) Com medo de errar,( ) Tranquilo(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Tentar sozinho com calma,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me dar desafios na medida certa
71,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Animado pelo desafio,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Ver outro exemplo,( ) Explicações diretas e curtas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, com certeza",( ) Quando alguém me apoia,( ) Ter explicações simples
72,( ) Sobre problemas do dia a dia,( ) Um pouco,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não devia ter tentado""",( ) Vendo alguém resolver passo a passo,( ) Mais de 20 minutos,( ) Não tenho um lugar certo,( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Repetindo até eu entender,"( ) Sim, com certeza",( ) Quando vejo que estou melhorando,( ) Me deixar estudar no meu ritmo
73,( ) Nenhuma foi difícil,( ) Um pouco,( ) Com medo de errar,( ) Ansioso(a),"( ) ""Não sou bom nisso""",( ) Vendo alguém resolver passo a passo,( ) De 5 a 10 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, mas não gostei",( ) Corrigindo meus erros,"( ) Sim, com certeza",( ) Quando entendo o conteúdo,( ) Me deixar estudar no meu ritmo
74,( ) Sobre problemas do dia a dia,"( ) Sim, com certeza",( ) Curioso para entender,( ) Ansioso(a),"( ) ""Preciso tentar de outro jeito""",( ) Com vídeos curtos explicando,( ) Mais de 20 minutos,"( ) Em casa, no silêncio",( ) Ouvir alguém explicando de novo,( ) Imagens ou esquemas,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ter explicações simples
75,( ) Sobre problemas do dia a dia,( ) Não ajudaram,( ) Com medo de errar,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) Menos de 5 minutos,( ) Não tenho um lugar certo,( ) Ouvir alguém explicando de novo,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Dando dicas e explicações curtas,"( ) Sim, mas será difícil",( ) Quando alguém me apoia,( ) Ser divertido e interativo
76,( ) Sobre interpretação de frases,( ) Um pouco,( ) Desanimado,( ) Inseguro(a),"( ) ""Não sou bom nisso""",( ) Com vídeos curtos explicando,( ) Menos de 5 minutos,"( ) Em casa, no silêncio",( ) Perguntar por mensagem ou chat,( ) Alguém corrigindo junto,"( ) Sim, e gostei muito",( ) Corrigindo meus erros,"( ) Sim, mas será difícil",( ) Quando entendo o conteúdo,( ) Ser divertido e interativo